Title,CELEX number,Initiating document,Initial reference,Adopted acts,Procedure status,ECLI identifier,Subject matter,Transposed legal act(s),Date of document,Author,In force indicator,Publication Reference
"Judgment of the Court (Fourth Chamber) of 17 December 2015.#Abdoulaye Amadou Tall v Centre public d’action sociale de Huy (CPAS de Huy).#Reference for a preliminary ruling — Area of freedom, security and justice — Directive 2005/85/EC — Minimum standards on procedures in Member States for granting and withdrawing refugee status — Article 39 — Right to an effective remedy — Multiple asylum claims — Non-suspensory effect of an appeal against a decision of the competent national authority not to further examine a subsequent application for asylum — Social protection — Charter of Fundamental Rights of the European Union — Article 19(2) — Article 47.#Case C-239/14.",62014CJ0239_SUM,,,,,,,,12/17/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Third Chamber) of 17 December 2015.#WebMindLicenses kft v Nemzeti Adó- és Vámhivatal Kiemelt Adó- és Vám Főigazgatóság.#Reference for a preliminary ruling — Value added tax — Directive 2006/112/EC — Articles 2, 24, 43, 250 and 273 — Place of supply of electronically supplied services — Artificial fixing of that place by means of an arrangement not reflecting economic reality — Abuse of rights — Regulation (EU) No 904/2010 — Charter of Fundamental Rights of the European Union — Articles 7, 8, 41, 47, 48, 51(1) and 52(1) and (3) — Rights of the defence — Right to be heard — Use by the tax authorities of evidence obtained without the taxable person’s knowledge in the context of a parallel criminal procedure that has not been concluded — Interception of telecommunications and seizure of emails.#Case C-419/14.",62014CJ0419_SUM,,,,,,,,12/17/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Fourth Chamber) of 17 December 2015.#X-Steuerberatungsgesellschaft v Finanzamt Hannover-Nord.#Reference for a preliminary ruling — Recognition of professional qualifications — Directive 2005/36/EC — Article 5 — Freedom to provide services — Directive 2006/123/EC — Articles 16 and 17(6) — Article 56 TFEU — Tax consultancy company established in a Member State and providing services in another Member State — Legislation of a Member State requiring the registration and recognition of tax consultancy companies.#Case C-342/14.,62014CJ0342_SUM,,,,,,,,12/17/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Fourth Chamber) of 17 December 2015.#María Auxiliadora Arjona Camacho v Securitas Seguridad España, SA.#Reference for a preliminary ruling — Social policy — Directive 2006/54/EC — Equal treatment of men and women in matters of employment and occupation — Discriminatory dismissal — Article 18 — Compensation or reparation for the loss and damage actually sustained — Deterrent effect — Article 25 — Penalties — Punitive damages.#Case C-407/14.",62014CJ0407_SUM,,,,,,,,12/17/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Third Chamber) of 17 December 2015.#Timac Agro Deutschland GmbH v Finanzamt Sankt Augustin.#Reference for a preliminary ruling — Tax legislation — Corporation tax — Freedom of establishment — Non-resident permanent establishment — Avoidance of double taxation by exemption of the income of the non-resident permanent establishment — Taking account of losses incurred by that permanent establishment — Reincorporation of the losses deducted previously in the event that the non-resident establishment is transferred — Definitive losses.#Case C-388/14.,62014CJ0388_SUM,,,,,,,,12/17/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Seventh Chamber) of 17 December 2015.#Virpi Komu and Others v Pekka Komu and Jelena Komu.#Reference for a preliminary ruling — Regulation (EC) No 44/2001 — Scope — Exclusive jurisdiction — Article 22(1) — Proceedings concerning rights in rem in immovable property — Concept — Action to terminate, by way of sale, the co-ownership in undivided shares of immovable property.#Case C-605/14.",62014CJ0605_SUM,,,,,,,,12/17/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Third Chamber) of 17 December 2015.#Viamar – Elliniki Aftokiniton kai Genikon Epicheiriseon AE v Elliniko Dimosio.#References for a preliminary ruling — Free movement of goods — Tax provisions — Internal taxation — Customs duties of a fiscal nature — Charges having equivalent effect — Formalities connected with the crossing of frontiers — Article 30 TFEU — Article 110 TFEU — Directive 92/12/EEC — Article 3(3) — Directive 2008/118/EC — Article 1(3) — Not implemented in domestic law — Direct effect — Levying of a tax on motor vehicles at the time of their import into the territory of a Member State — Tax linked to registration and potential putting into circulation of the vehicle — Refusal to refund the tax where the vehicle is not registered.#Case C-402/14.,62014CJ0402_SUM,,,,,,,,12/17/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Fourth Chamber) of 17 December 2015.#Imtech Marine Belgium NV v Radio Hellenic SA.#Reference for a preliminary ruling — Judicial cooperation in civil matters — Regulation (EC) No 805/2004 — European Enforcement Order for uncontested claims — Conditions for certification — Rights of the debtor — Review of the judgment.#Case C-300/14.,62014CJ0300_SUM,,,,,,,,12/17/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Fourth Chamber) of 17 December 2015.#Gergely Szemerey v Miniszterelnökséget vezető miniszter.#Reference for a preliminary ruling — Common agricultural policy — Rural development support measures — Agri-environmental payments — Regulation (EC) No 1122/2009 — Articles 23 and 58 — Regulation (EC) No 1698/2005 — Regulation (EC) No 1975/2006 — Aid in respect of the cultivation of a rare plant species — Application for payment — Contents — Certificate requirement — Penalties for non-presentation.#Case C-330/14.,62014CJ0330_SUM,,,,,,,,12/17/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Fifth Chamber) of 17 December 2015.#Union des syndicats de l'immobilier (UNIS) v Ministre du Travail, de l’Emploi et de la Formation professionnelle et du Dialogue social et Syndicat national des résidences de tourisme (SNRT) and Others and Beaudout Père et Fils SARL v Ministre du Travail, de l’Emploi et de la Formation professionnelle et du Dialogue social and Others.#Reference for a preliminary ruling — Article 56 TFEU — Freedom to provide services — Principles of equality and of non-discrimination — Obligation of transparency — Scope of that obligation — National collective agreements — Social protection scheme supplemental to the general scheme — Appointment by the social partners of an insurer responsible for managing that scheme — Extension of that scheme by ministerial order to all employees and employers of the sector concerned — Limitation of the temporal effects of a preliminary ruling of the Court of Justice.#Joined Cases C-25/14 and C-26/14.",62014CJ0025_SUM,,,,,,,,12/17/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Fourth Chamber) of 17 December 2015.#Société Neptune Distribution v Ministre de l'Économie et des Finances.#Reference for a preliminary ruling — Regulation (EC) No 1924/2006 — Directive 2009/54/EC — Articles 11(1) and 16 of the Charter of Fundamental Rights of the European Union — Consumer protection — Nutrition and health claims — Natural mineral waters — Sodium/salt content — Calculation — Sodium chloride (table salt) or total amount of sodium — Freedom of expression and information — Freedom to conduct a business.#Case C-157/14.,62014CJ0157_SUM,,,,,,,,12/17/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Fourth Chamber) of 17 December 2015.#APEX GmbH Internationale Spedition v Hauptzollamt Hamburg-Stadt.#Request for a preliminary ruling from the Finanzgericht Hamburg.#Reference for a preliminary ruling — Commercial policy — Dumping — Gas-fuelled, non-refillable pocket flint lighters — Regulation (EC) No 1225/2009 — Article 11(2) — Expiry — Article 13 — Circumvention — Implementing Regulation (EU) No 260/2013 — Validity — Extension of an anti-dumping duty at a date on which the regulation which imposed it is no longer in force — Change in the pattern of trade.#Case C-371/14.",62014CJ0371,,,,,ECLI:EU:C:2015:828,"Commercial policy, External relations, Dumping",,12/17/2015,"Court of Justice, Bot",,Digital reports (Court Reports - general)
Judgment of the Court (Fourth Chamber) of 17 December 2015.#Gergely Szemerey v Miniszterelnökséget vezető miniszter.#Request for a preliminary ruling from the Gyulai Közigazgatási és Munkaügyi Bíróság.#Reference for a preliminary ruling — Common agricultural policy — Rural development support measures — Agri-environmental payments — Regulation (EC) No 1122/2009 — Articles 23 and 58 — Regulation (EC) No 1698/2005 — Regulation (EC) No 1975/2006 — Aid in respect of the cultivation of a rare plant species — Application for payment — Contents — Certificate requirement — Penalties for non-presentation.#Case C-330/14.,62014CJ0330,,,,,ECLI:EU:C:2015:826,"General provisions, Wine, Agriculture and Fisheries",,12/17/2015,"Wahl, Court of Justice",,Digital reports (Court Reports - general)
Judgment of the Court (Grand Chamber) of 15 December 2015.#European Parliament and European Commission v Council of the European Union.#Actions for annulment — Regulation (EU) No 1385/2013 — Directive 2013/62/EU — Directive 2013/64/EU — Legal basis — Article 349 TFEU — Outermost regions of the European Union — Amendment of the status of Mayotte with regard to the European Union.#Joined Cases C-132/14 to C-136/14.,62014CJ0132_SUM,,,,,,,,12/15/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Seventh Chamber) of 10 December 2015.#TSI GmbH v Hauptzollamt Aachen.#Reference for a preliminary ruling — Common Customs Tariff — Tariff classification — Combined Nomenclature — Sub-heading 9027 10 10 — Ultraviolet aerodynamic particle sizer spectrometers — Handheld particle counters.#Case C-183/15.,62015CJ0183_SUM,,,,,,,,12/10/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Fourth Chamber) of 10 December 2015.#Florin Lazar, représenté légalement par Luigi Erculeo v Allianz SpA.#Reference for a preliminary ruling — Area of freedom, security and justice — Judicial cooperation in civil matters — Regulation (EC) No 864/2007 — Article 4(1) — Concepts of ‘country in which the damage occurs’, ‘damage’ and ‘indirect consequences of the tort or delict’ — Damage sustained personally by a family member of a person who died as a result of a road traffic accident — Applicable law.#Case C-350/14.",62014CJ0350_SUM,,,,,,,,12/10/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Seventh Chamber) of 10 December 2015.#Kyocera Mita Europe BV v European Commission.#Appeal — Customs Union and Common Customs Tariff — Regulation (EU) No 861/2010 — Actions for annulment — Fourth paragraph of Article 263 TFEU — Regulatory act not entailing implementing measures — Release of goods and communication of the amount of the duties — Use of simplified procedures or data-processing techniques.#Case C-553/14 P.,62014CJ0553_INF,,,,,,,,12/10/2015,Court of Justice,,Digital reports (Court Reports - general - 'Information on unpublished decisions' section)
Judgment of the Court (Seventh Chamber) of 10 December 2015.#Canon Europa NV v European Commission.#Appeal — Customs Union and Common Customs Tariff — Regulation (EU) No 861/2010 — Actions for annulment — Fourth paragraph of Article 263 TFEU — Regulatory act not entailing implementing measures — Release of goods and communication of the amount of the duties — Use of simplified procedures or data-processing techniques.#Case C-552/14 P.,62014CJ0552_INF,,,,,,,,12/10/2015,Court of Justice,,Digital reports (Court Reports - general - 'Information on unpublished decisions' section)
"Judgment of the Court (First Chamber) of 10 December 2015.#Valsts ieņēmumu dienests v \Veloserviss” SIA.#Reference for a preliminary ruling — Community Customs Code — Post-clearance examination of declarations — Principle of the protection of legitimate expectations — National rules placing restrictions on re-examination of the results of a post-clearance examination — Powers — Decision on the first post-clearance examination — Incorrect or incomplete information not known on the date of the decision.#Case C-427/14.""",62014CJ0427_SUM,,,,,,,,12/10/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Ninth Chamber) of 10 December 2015.#El Corte Inglés, SA v Office for Harmonisation in the Internal Market (Trade Marks and Designs).#Appeal — Community trade mark — Application for the word mark The English Cut — Opposition by the proprietor of the national and Community word and figurative marks including the word elements ‘El Corte Inglés’ — Regulation (EC) No 207/2009 — Article 8(1)(b) — Likelihood of confusion — Article 8(5) — Risk that the relevant public will make a connection with a trade mark which has a reputation — Degree of similarity required.#Case C-603/14 P.",62014CJ0603_SUM,,,,,,,,12/10/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Sixth Chamber) of 10 December 2015.#Simona Kornhaas v Thomas Dithmar als Insolvenzverwalter über das Vermögen der Kornhaas Montage und Dienstleistung Ltd.#Reference for a preliminary ruling — Area of freedom, security and justice — Insolvency proceedings — Regulation (EC) No 1346/2000 — Article 4(1) — Determination of the applicable law — Legislation of a Member State laying down the obligation for a managing director of a company to reimburse that company for the payments made after it had become insolvent — Application of that legislation to a company established in another Member State — Articles 49 TFEU and 54 TFEU — Restriction on the freedom of establishment — None.#Case C-594/14.",62014CJ0594_SUM,,,,,,,,12/10/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Ninth Chamber) of 10 December 2015.#El Corte Inglés, SA v Office for Harmonisation in the Internal Market (Trade Marks and Designs).#Appeal — Community trade mark — Application for the word mark The English Cut — Opposition by the proprietor of the national and Community word and figurative marks including the word elements ‘El Corte Inglés’ — Regulation (EC) No 207/2009 — Article 8(1)(b) — Likelihood of confusion — Article 8(5) — Risk that the relevant public will make a connection with a trade mark which has a reputation — Degree of similarity required.#Case C-603/14 P.",62014CJ0603,,,,,ECLI:EU:C:2015:807,"Intellectual, industrial and commercial property, Trade marks",,12/10/2015,"Court of Justice, Wahl",,Digital reports (Court Reports - general)
"Judgment of the Court (First Chamber) of 10 December 2015.#Valsts ieņēmumu dienests v \Veloserviss” SIA.#Request for a preliminary ruling from the Augstākā Tiesa.#Reference for a preliminary ruling — Community Customs Code — Post-clearance examination of declarations — Principle of the protection of legitimate expectations — National rules placing restrictions on re-examination of the results of a post-clearance examination — Powers — Decision on the first post-clearance examination — Incorrect or incomplete information not known on the date of the decision.#Case C-427/14.""",62014CJ0427,,,,,ECLI:EU:C:2015:803,"Customs Union, Free movement of goods",,12/10/2015,"Court of Justice, Mengozzi",,Digital reports (Court Reports - general)
Judgment of the Court (Fifth Chamber) of 9 December 2015.#Staatssecretaris van Financiën v Fiscale Eenheid X NV cs.#Reference for a preliminary ruling — Sixth VAT Directive — Exemptions — Article 13B(d)(6) — Special investment funds — Meaning — Investments in immovable property — Management of special investment funds — Meaning — Actual management of a property.#Case C-595/13.,62013CJ0595_SUM,,,,,,,,12/9/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Fifth Chamber) of 3 December 2015.#Italian Republic v European Commission.#Appeal — Regional policy — Regional operational programme (ROP) Puglia (Italy) covered by objective No 1 (2000-2006) — Reduction of the Community financial assistance initially granted by the European Regional Development Fund.#Case C-280/14 P.,62014CJ0280_SUM,,,,,,,,12/3/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Fourth Chamber) of 3 December 2015.#Banif Plus Bank Zrt. v Márton Lantos and Mártonné Lantos.#References for a preliminary ruling — Directive 2004/39/EC — Articles 4(1) and 19(4), (5) and (9) — Markets in financial instruments — Concept of ‘investment services and activities’ — Provisions to ensure investor protection — Conduct of business obligations when providing investment services to clients ‐ Obligation to assess the suitability or appropriateness of the service to be provided — Contractual consequences of non-compliance with that obligation — Consumer credit contracts — Foreign currency denominated loan — Advancement and reimbursement of loan in domestic currency — Terms relating to the exchange rate.#Case C-312/14.",62014CJ0312_SUM,,,,,,,,12/3/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Fourth Chamber) of 3 December 2015.#Quenon K. SPRL v Beobank SA and Metlife Insurance SA.#Reference for a preliminary ruling — Self-employed commercial agents — Directive 86/653/EEC — Article 17(2) — Termination of the agency contract by the principal — Compensation of the agent– Prohibition of the simultaneous operation of the indemnity for customers scheme and compensation for damage scheme — Entitlement of the agent to damages additional to the indemnity for customers — Conditions.#Case C-338/14.,62014CJ0338_SUM,,,,,,,,12/3/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Eighth Chamber) of 3 December 2015.#PP Nature-Balance Lizenz GmbH v European Commission.#Appeal — Medicinal products for human use — Directive 2001/83/EC — Articles 31 and 116 — Commission decision ordering the Member States to withdraw or amend national marketing authorisations for medicinal products for human use containing the active substance ‘tolpérisone’.#Case C-82/15 P.,62015CJ0082_INF,,,,,,,,12/3/2015,Court of Justice,,Digital reports (Court Reports - general - 'Information on unpublished decisions' section)
"Judgment of the Court (Fourth Chamber) of 3 December 2015.#Pfotenhilfe-Ungarn e.V. v Ministerium für Energiewende, Landwirtschaft, Umwelt und ländliche Räume des Landes Schleswig-Holstein.#Reference for a preliminary ruling — Regulation (EC) No 1/2005 — Article 1(5) — Protection of animals during transport — Transport of stray dogs from one Member State to another by an animal protection association — Concept of ‘economic activity’ — Directive 90/425/EEC — Article 12 — Concept of ‘dealers engaging in intra-Community trade’.#Case C-301/14.",62014CJ0301_SUM,,,,,,,,12/3/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Fifth Chamber) of 3 December 2015.#Italian Republic v European Commission.#Appeal — Regional policy — Regional operational programme (ROP) Puglia (Italy) covered by objective No 1 (2000-2006) — Reduction of the Community financial assistance initially granted by the European Regional Development Fund.#Case C-280/14 P.,62014CJ0280,,,,,ECLI:EU:C:2015:792,"economic, social and territorial cohesion, European Regional Development Fund (ERDF)",,12/3/2015,"Court of Justice, Cruz Villalón",,Digital reports (Court Reports - general)
Judgment of the Court (Grand Chamber) of 1 December 2015.#European Parliament and European Commission v Council of the European Union.#Actions for annulment — Regulation (EU) No 1243/2012 — Choice of legal basis — Article 43(2) and (3) TFEU — Policy decision — Long-term plan for cod stocks.#Joined Cases C-124/13 and C-125/13.,62013CJ0124_SUM,,,,,,,,12/1/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Grand Chamber) of 1 December 2015.#European Parliament and European Commission v Council of the European Union.#Actions for annulment — Regulation (EU) No 1243/2012 — Choice of legal basis — Article 43(2) and (3) TFEU — Policy decision — Long-term plan for cod stocks.#Joined Cases C-124/13 and C-125/13.,62013CJ0124,,,,,ECLI:EU:C:2015:790,"Fisheries policy, Agriculture and Fisheries",,12/1/2015,"Court of Justice, Wahl",,Digital reports (Court Reports - general)
Judgment of the Court (Sixth Chamber) of 26 November 2015.#Administrador de Infraestructuras Ferroviarias (ADIF) v Luis Aira Pascual and Others.#Reference for a preliminary ruling — Directive 2001/23/EC — Article 1(1) — Transfers of undertakings — Safeguarding of employees’ rights — Obligation on the transferee to take on workers — Public undertaking responsible for a public service — Provision of the service by another undertaking pursuant to a public service operating agreement — Decision not to extend that agreement following its expiry — Retention of identity of the economic entity — Activity based essentially on equipment — Employees not taken on.#Case C-509/14.,62014CJ0509_SUM,,,,,,,,11/26/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Seventh Chamber) of 26 November 2015.#SC Total Waste Recycling SRL v Országos Környezetvédelmi és Természetvédelmi Főfelügyelőség.#Reference for a preliminary ruling — Environment — Waste — Shipments — Regulation (EC) No 1013/2006 — Shipments within the European Union — Point of entry different from that specified in the notification and in the prior consent — Essential change to the details of a shipment of waste — Shipments — Proportionality of the administrative fine.#Case C-487/14.,62014CJ0487_SUM,,,,,,,,11/26/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Fourth Chamber) of 26 November 2015.#Verein für Konsumenteninformation v A1 Telekom Austria AG.#Reference for a preliminary ruling — Directive 2002/22/EC — Electronic communications networks and services — Users’ rights — Right of subscribers to terminate their contract without penalty — Changes to charges under terms of the contract — Increase in charges in line with increase in the consumer price index.#Case C-326/14.,62014CJ0326_SUM,,,,,,,,11/26/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Ninth Chamber) of 26 November 2015.#Hauptzollamt Frankfurt am Main v Duval GmbH & Co. KG.#Reference for a preliminary ruling — Customs union and Common Customs Tariff — Tariff classification — Combined Nomenclature — Position 9025 — Concept of ‘thermometer’ — Indicators of exposure to a predetermined target temperature to be used on one occasion only.#Case C-44/15.,62015CJ0044_SUM,,,,,,,,11/26/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Fourth Chamber) of 26 November 2015.#SIA „Maxima Latvija” v Konkurences padome.#Reference for a preliminary ruling — Competition — Article 101(1) TFEU — Application of analogous national legislation — Jurisdiction of the Court — Concept of ‘agreement having as its object the restriction of competition’ — Commercial lease agreements — Shopping centres — Right of the anchor tenant to prevent the lessor letting commercial premises to third parties.#Case C-345/14.,62014CJ0345_SUM,,,,,,,,11/26/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Fifth Chamber) of 26 November 2015.#MedEval - Qualitäts-, Leistungs- und Struktur-Evaluierung im Gesundheitswesen GmbH.#Reference for a preliminary ruling — Public procurement — Directive 89/665/EEC — Principles of effectiveness and equivalence — Review procedures concerning the award of public contracts — Period allowed for commencing proceedings — National legislation making an action for damages subject to a precondition that the procedure be declared unlawful — Limitation period which starts to run irrespective of the applicant’s knowledge of the unlawfulness.#Case C-166/14.",62014CJ0166_SUM,,,,,,,,11/26/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Third Chamber) of 19 November 2015.#Roman Bukovansky v Finanzamt Lörrach.#Reference for a preliminary ruling — Taxation — Agreement between the European Community and its Member States, of the one part, and the Swiss Confederation, of the other, on the free movement of persons — Relationship between that agreement and bilateral agreements on double taxation — Equal treatment — Discrimination on grounds of nationality — National of a Member State of the European Union — Frontier workers — Income tax — Allocation of fiscal sovereignty — Connecting factor for tax purposes — Nationality.#Case C-241/14.",62014CJ0241_SUM,,,,,,,,11/19/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Fourth Chamber) of 19 November 2015.#P v Q.#Reference for a preliminary ruling — Urgent preliminary ruling procedure — Judicial cooperation in civil matters — Jurisdiction, recognition and enforcement of judgments in matrimonial matters and in matters of parental responsibility — Regulation (EC) No 2201/2003 — Article 23(a) — Grounds of non-recognition of judgments in matters of parental responsibility — Public policy.#Case C-455/15 PPU.",62015CJ0455_SUM,,,,,,,,11/19/2015,Court of Justice,,Digital reports (Court Reports - general)
"Judgment of the Court (Ninth Chamber) of 19 November 2015.#SBS Belgium NV v Belgische Vereniging van Auteurs, Componisten en Uitgevers (SABAM).#Reference for a preliminary ruling — Directive 2001/29/EC — Article 3(1) — Communication to the public — Definition of ‘communication’ and ‘public’ — Distribution of television programmes — Process known as ‘direct injection’.#Case C-325/14.",62014CJ0325_SUM,,,,,,,,11/19/2015,Court of Justice,,Digital reports (Court Reports - general)
Judgment of the Court (Sixth Chamber) of 19 November 2015.#Skatteverket v Hilkka Hirvonen.#Reference for a preliminary ruling — Freedom of movement for persons — Equal treatment — Income tax — Revenue of non-resident taxpayers subject to taxation at source — Exclusion of any tax deduction related to the taxpayer’s personal circumstances — Justification — Possibility for non-resident taxpayers to opt for the regime applicable to resident taxpayers and to benefit from the relevant tax deductions.#Case C-632/13.,62013CJ0632_SUM,,,,,,,,11/19/2015,Court of Justice,,Digital reports (Court Reports - general)
